year,month,day,hospital
2012,6,29,448
2012,6,30,335
2012,7,1,304
2012,7,2,373
2012,7,3,441
2012,7,4,283
2012,7,5,377
2012,7,6,395
2012,7,7,286
2012,7,8,263
2012,7,9,370
2012,7,10,422
2012,7,11,431
2012,7,12,505
2012,7,13,447
2012,7,14,287
2012,7,15,275
2012,7,16,424
2012,7,17,442
2012,7,18,452
2012,7,19,471
2012,7,20,458
2012,7,21,309
2012,7,22,297
2012,7,23,405
2012,7,24,427
2012,7,25,431
2012,7,26,473
2012,7,27,419
2012,7,28,336
2012,7,29,320
2012,7,30,363
2012,7,31,400
2012,8,1,406
2012,8,2,425
2012,8,3,419
2012,8,4,300
2012,8,5,307
2012,8,6,364
2012,8,7,389
2012,8,8,408
2012,8,9,416
2012,8,10,426
2012,8,11,315
2012,8,12,260
2012,8,13,354
2012,8,14,433
2012,8,15,387
2012,8,16,419
2012,8,17,434
2012,8,18,309
2012,8,19,265
2012,8,20,329
2012,8,21,389
2012,8,22,387
2012,8,23,418
2012,8,24,414
2012,8,25,306
2012,8,26,280
2012,8,27,384
2012,8,28,380
2012,8,29,410
2012,8,30,371
2012,8,31,393
2012,9,1,276
2012,9,2,273
2012,9,3,235
2012,9,4,399
2012,9,5,426
2012,9,6,453
2012,9,7,410
2012,9,8,356
2012,9,9,284
2012,9,10,397
2012,9,11,468
2012,9,12,460
2012,9,13,459
2012,9,14,430
2012,9,15,337
2012,9,16,293
2012,9,17,370
2012,9,18,424
2012,9,19,402
2012,9,20,440
2012,9,21,403
2012,9,22,391
2012,9,23,314
2012,9,24,392
2012,9,25,364
2012,9,26,319
2012,9,27,442
2012,9,28,430
2012,9,29,344
2012,9,30,324
2012,10,1,408
2012,10,2,440
2012,10,3,446
2012,10,4,425
2012,10,5,425
2012,10,6,356
2012,10,7,282
2012,10,8,365
2012,10,9,457
2012,10,10,432
2012,10,11,441
2012,10,12,478
2012,10,13,374
2012,10,14,293
2012,10,15,442
2012,10,16,427
2012,10,17,461
2012,10,18,412
2012,10,19,450
2012,10,20,337
2012,10,21,308
2012,10,22,393
2012,10,23,427
2012,10,24,461
2012,10,25,394
2012,10,26,405
2012,10,27,328
2012,10,28,276
2012,10,29,142
2012,10,30,172
2012,10,31,309
2012,11,1,269
2012,11,2,222
2012,11,3,223
2012,11,4,256
2012,11,5,344
2012,11,6,367
2012,11,7,392
2012,11,8,406
2012,11,9,435
2012,11,10,350
2012,11,11,316
2012,11,12,354
2012,11,13,406
2012,11,14,379
2012,11,15,379
2012,11,16,426
2012,11,17,347
2012,11,18,301
2012,11,19,379
2012,11,20,398
2012,11,21,342
2012,11,22,224
2012,11,23,254
2012,11,24,271
2012,11,25,275
2012,11,26,338
2012,11,27,450
2012,11,28,387
2012,11,29,429
2012,11,30,427
2012,12,1,360
2012,12,2,343
2012,12,3,373
2012,12,4,378
2012,12,5,446
2012,12,6,403
2012,12,7,380
2012,12,8,331
2012,12,9,304
2012,12,10,408
2012,12,11,394
2012,12,12,432
2012,12,13,426
2012,12,14,441
2012,12,15,312
2012,12,16,321
2012,12,17,416
2012,12,18,409
2012,12,19,412
2012,12,20,466
2012,12,21,426
2012,12,22,263
2012,12,23,226
2012,12,24,258
2012,12,25,166
2012,12,26,286
2012,12,27,337
2012,12,28,340
2012,12,29,267
2012,12,30,275
2012,12,31,371
2013,1,1,306
2013,1,2,400
2013,1,3,427
2013,1,4,422
2013,1,5,300
2013,1,6,247
2013,1,7,345
2013,1,8,375
2013,1,9,396
2013,1,10,416
2013,1,11,396
2013,1,12,318
2013,1,13,312
2013,1,14,370
2013,1,15,438
2013,1,16,489
2013,1,17,398
2013,1,18,477
2013,1,19,298
2013,1,20,295
2013,1,21,288
2013,1,22,471
2013,1,23,448
2013,1,24,439
2013,1,25,472
2013,1,26,336
2013,1,27,310
2013,1,28,438
2013,1,29,431
2013,1,30,432
2013,1,31,439
2013,2,1,455
2013,2,2,373
2013,2,3,325
2013,2,4,426
2013,2,5,408
2013,2,6,423
2013,2,7,473
2013,2,8,390
2013,2,9,253
2013,2,10,300
2013,2,11,422
2013,2,12,419
2013,2,13,454
2013,2,14,430
2013,2,15,427
2013,2,16,310
2013,2,17,313
2013,2,18,288
2013,2,19,408
2013,2,20,433
2013,2,21,462
2013,2,22,424
2013,2,23,338
2013,2,24,299
2013,2,25,420
2013,2,26,450
2013,2,27,471
2013,2,28,466
2013,3,1,462
2013,3,2,323
2013,3,3,333
2013,3,4,473
2013,3,5,439
2013,3,6,463
2013,3,7,412
2013,3,8,451
2013,3,9,354
2013,3,10,332
2013,3,11,415
2013,3,12,454
2013,3,13,425
2013,3,14,474
2013,3,15,441
2013,3,16,380
2013,3,17,322
2013,3,18,441
2013,3,19,445
2013,3,20,439
2013,3,21,437
2013,3,22,417
2013,3,23,350
2013,3,24,336
2013,3,25,383
2013,3,26,407
2013,3,27,380
2013,3,28,444
2013,3,29,410
